AgencyRef,AgencyName,Addr1,Addr2,City,State,Zip,Phone,County,Group
00032,CHILD INC-HOPE I-Sparrow Run 1,148 FLAMINGO DR,,NEWARK,DE,19702,(302)832-5452,NEW CASTLE,BROWN BAG CLUB
00034,CHILD INC. - HOPE II Sparrow Run 2,148 FLAMINGO DRIVE,,NEWARK,DE,19702,(302)832-5452,NEW CASTLE,BROWN BAG CLUB
007809,CC-Thrift Center -Hope ,1320 East 4th Street,,Wilmington ,DE,19802,(302)764-2717,NEW CASTLE,BROWN BAG CLUB
03813,LIFE Tree of Life,505 Osbourne Street,,Odessa,DE,19730,(302)654-8886,NEW CASTLE,BROWN BAG CLUB
03814,LCS-New Calvary Baptist Church Hope Club,610 South Heald Street,,Wilmington,DE,19801,(302)475-3726,NEW CASTLE,BROWN BAG CLUB
03815,LCS Grace of God Grocery Club Millsboro,31768 Legion Rd,50 Comance Cirlce- Pat Barns- mail,Millsboro,DE,19966,(302)945-3108,SUSSEX,BROWN BAG CLUB
03819,LCS- Food From Faith- Hope ,2265 Red Lion Road,,Bear,DE,19701,(302)654-8886,NEW CASTLE,BROWN BAG CLUB
07083,CC-Casa San Francisco/HOPE,127 Broad Street,,Milton ,DE,19968,(302)684-8694,SUSSEX,BROWN BAG CLUB
10106,DOVER FIRST SDA HOPE,647 WYOMING AVENUE,,DOVER,DE,19901,(302)674-3680,DELAWARE KENT,BROWN BAG CLUB
03818,LCS- Choice Pantry,2809 Baynard Blvd. ,,Wilmington,DE,19802,(302)654-8886,NEW CASTLE,CHOICE PANTRY
17221,SOLID ROCK-FC,283 Black Diamond Rd,"807 Hazlettville Road, Hartley serv",Smyrna,DE,19977,(302)653-5481,DELAWARE KENT,CHOICE PANTRY
200771,Rose Hill Community Center FC,19 Lambsons Lane,,New Castle,DE,19720,(302)656-8513,NEW CASTLE,CHOICE PANTRY
201251,PIC closet- Ewell's St. Paul UMC (Non foods Only),401 West street,,Clayton,DE,19938,(302)667-3078,DELAWARE KENT,CHOICE PANTRY
201271,Love-In-Deed Food Closet (Perfecting Holiness),3016 Governor Printz Blvd,,Wilmington ,DE,19802,(302)384-8045,NEW CASTLE,CHOICE PANTRY
201371,Marshallton UMC Food Closet,1105 Stanton Rd,,Wilmington ,DE,,(302)994-7466,NEW CASTLE,CHOICE PANTRY
201501,Cedars Church of Christ-Pantry,511 Greenbank Road,,Wilmington,DE,19808,(302)994-3800,NEW CASTLE,CHOICE PANTRY
207001,The Resurrection Center-Benevolence FC,3301 N. Market Street,,Wilmington,DE,19802,(302)762-8311,NEW CASTLE,CHOICE PANTRY
215091,Greater Wilmington Adventist Community Services Food Closet,"105 Mt Vernon Dr, Bear 19701 (mail)",2200 N. Claymont St. is Service add,Wilmington,DE,19802,(302)239-9758,NEW CASTLE,CHOICE PANTRY
220001,New Castle SDA Spanish Church Food Pantry,6 N. Clifton Street,(Elsmere),Wilmington,DE,19805,(302)507-6529,NEW CASTLE,CHOICE PANTRY
230111,Milford Multi Cultural CC- Food Pantry (Hearts Unlimted),105 N E Front Street,,Milford,DE,19963,(302)725-0770,DELAWARE KENT,CHOICE PANTRY
600600,FBD-HK-Eisenberg Elementary- SCP,27 Landers Lane,,New Castle ,DE,19720,(302)429-4046,NEW CASTLE,CHOICE PANTRY
600601,FBD- HK-Eastside Charter School- SCP,3000 N Claymont Street,,Wilmington ,DE,19802,(302)932-0570,NEW CASTLE,CHOICE PANTRY
600602,FBD-HK-Lake Forest High School-SCP,5407 Killens Pond Road,,Felton,DE,19943,(302)284-9291,DELAWARE KENT,CHOICE PANTRY
600604,FBD-HK-Bancroft Elementary-SCP,700 N. Lombard Street,,Wilmington,DE,19801,(302)429-4102,NEW CASTLE,CHOICE PANTRY
600605,FBD-HK-Stubbs Elementary-SCP,1100 N Pine Street,,Wilmington ,DE,19801,(302)429-4175,NEW CASTLE,CHOICE PANTRY
600607,FBD- HK-Castle Hills Elementary-SCP,502 Moores Lane,,New Castle,DE,19720,(302)323-2915,NEW CASTLE,CHOICE PANTRY
600608,FBD-HK-William Penn Highschool-SCP,Back of the WP building-round back,713 Basin Road,New Castle,DE,19720,(302)323-2800,NEW CASTLE,CHOICE PANTRY
600609,FBD- HK-Southern Elementary- SCP,795 Cox Neck Road,,New Castle,DE,19720,(302)832-6310,NEW CASTLE,CHOICE PANTRY
600610,FBD-HK-Pleasantville Elementary-SCP,16 Pleasant Place,,New Castle,DE,19720,(302)323-2935,NEW CASTLE,CHOICE PANTRY
600612,FBD- HK-New Castle School-SCP,903 Delaware Street,,New Castle,DE,19720,(302)323-2880,NEW CASTLE,CHOICE PANTRY
600614,FBD-HK- P.S.duPont Middle School-SCP,701 W. 34th street,,Wilmimgton,DE,19805,(302)762-7146,NEW CASTLE,CHOICE PANTRY
600616,FBD-HK-GW Carver Education Center- SCP,IRSD Parent Center,Entrance in the side parking lot,Frankford,DE,19945,(302)732-1522,SUSSEX,CHOICE PANTRY
600617,FBD-HK-Milton Elementary- SCP,512 Federal Street,,Milton,DE,19968,(302)684-2516,SUSSEX,CHOICE PANTRY
600619,FBD-HK-Milford High School-SCP,1019 N. Walnut Street,(Room 306),Milford,DE,19963,(302)422-1610,DELAWARE KENT,CHOICE PANTRY
600620,FBD-HK-Philis Wheatly Elementary (PWES)- SCP,48 Church Street,,Bridgville ,DE,19933,(302)337-3469,SUSSEX,CHOICE PANTRY
600622,FBD-HK-Cape Henlopen-SCP,1250 Kings Highway,,Lewes,DE,19958,(302)645-7988,SUSSEX,CHOICE PANTRY
600623,FBD-HK-H. O. Brittingham Elementary-SCP,400 Mulberry Street,,Milton,DE,19968,(302)684-8522,SUSSEX,CHOICE PANTRY
600624,FBD-HK-Sussex Consortium- SCP,820 Savannah Rd.,,Lewes ,DE,19958,(302)645-7210,SUSSEX,CHOICE PANTRY
600625,FBD-HK-KCSILC- Kent County -SCP,631 Ridgely Street,,Dover ,DE,19901,(302)736-5355,DELAWARE KENT,CHOICE PANTRY
600627,FBD-HK-Morris Early Childhood Center-SCP,8609 Third Street,,Lincoln ,DE,19960,(302)422-1650,SUSSEX,CHOICE PANTRY
600628,FBD-HK-Delmar School District (Middle/High)-SCP,104 N. 2nd Street (American Legion),200 N 8th Street (School) ,Delmar,DE,19940,(302)846-9544,SUSSEX,CHOICE PANTRY
600629,FBD-HK-Community Education Building- CEB-SCP,1200 N. French Street,Deliver at loading dock n. Walnut,Wilmington,DE,19801,(302)660-4804,NEW CASTLE,CHOICE PANTRY
600630,FBD-HK-Lake Forest Central Elem-SCP,5424 Killens Pond Road,,Felton,DE,19943,(302)284-5810,DELAWARE KENT,CHOICE PANTRY
600633,FBD-HK-South Dover Elementary- SCP ,955 South State Street,,Dover,DE,19901,(302)672-1690,DELAWARE KENT,CHOICE PANTRY
600634,FBD- HK-DelStateU (College of EHPP)- SCP,1200 N. Dupont Highway,Main entrance- Price bldg,Dover,DE,19901,(302)462-7250,DELAWARE KENT,CHOICE PANTRY
600635,FBD-HK-W T Chipman-SCP,101 West Center Street,Chipman West ( Bldg in parking lot),Harrington DE ,DE,19952,(302)398-8197,DELAWARE KENT,CHOICE PANTRY
600636,FBD-HK- Campus Community Schoo- SCP,350 Pear Street,,Dover,DE,19904,(302)736-0403,DELAWARE KENT,CHOICE PANTRY
600637,FBD-Wesley College-SCP,120 N. State Street,Bennett Chapel (pantry) West side ,Dover,DE,19901,(484)226-5970,DELAWARE KENT,CHOICE PANTRY
61001,FBD-Delaware Center for Justice (DCJ)- CFP,314 Cherry Lane ,2nd floor ,New Castle,DE,19720,(302)498-5472,NEW CASTLE,CHOICE PANTRY
61002,FBD-Beebe Health Care- CFP,1515 Savanah Rd.,Cathy's Office,Lewis ,DE,19958,(302)645-3337,SUSSEX,CHOICE PANTRY
201132,Delmarva Teen Challenge ( Mass/Residential Program),PO Box 1271,611 3rd and North St,Seaford,DE,19973,(302)629-2559,SUSSEX,DINING ROOM
00291,RED LION UMC FC,RED LION UNITED METHODIST CHURCH,1545 CHURCH ROAD,BEAR,DE,19701,(302)834-1599,NEW CASTLE,FOOD CLOSET
01201,CLAYMONT CC FC,CLAYMONT COMMUNITY CENTER,3301 GREEN STREET,CLAYMONT,DE,19703,(302)792-2757,NEW CASTLE,FOOD CLOSET
02501,HANOVER PRESBYTERIAN FC,HANOVER PRESBYTERIAN CHURCH,1801 N JEFFERSON STREET,WILMINGTON,DE,19802,(302)658-5114,NEW CASTLE,FOOD CLOSET
02601,HOLY ROSARY OUTREACH FC,3200 PHILADELPHIA PIKE,,CLAYMONT,DE,19703,(302)798-1513,NEW CASTLE,FOOD CLOSET
03101,LACC FC (Family Services),LATIN AMERICAN COMMUNITY CENTER,403 NORTH VAN BUREN STREET,WILMINGTON,DE,19805,(302)655-7338,NEW CASTLE,FOOD CLOSET
03802,LIFE-HOPE LUTH CH-FC,230 CHRISTIANA ROAD,,NEW CASTLE,DE,19720,(302)328-7909,NEW CASTLE,FOOD CLOSET
03803,LIFE ST. STEPHENS FOOD CLOSET,1301 N BROOM ST,,WILMINGTON,DE,19806,(302)654-8886,NEW CASTLE,FOOD CLOSET
03804,LIFE ZION LUTHERAN CHURCH FC,2101 LANCASTER AVENUE,,WILMINGTON,DE,19805,(302)658-5288,NEW CASTLE,FOOD CLOSET
04001,NEIGH HSE WILM FC,1218 B STREET,,WILMINGTON,DE,19801,(302)658-5404,NEW CASTLE,FOOD CLOSET
04601,NEWARK AREA WELFARE FC,69 E Main Street,"P. O Box 951, 19715 (mail)",NEWARK,DE,19713,(302)690-1741,NEW CASTLE,FOOD CLOSET
05617,SALVATION ARMY FOOD CLOSET,SALVATION ARMY FAMILY SERVICES,400 North Orange Street,WILMINGTON,DE,19801,(302)472-0750,NEW CASTLE,FOOD CLOSET
06101,ST PATRICKS CENTER-FC,107 E 14TH STREET,,WILMINGTON,DE,19801,(302)652-6219,NEW CASTLE,FOOD CLOSET
06201,ST PAULS OUTREACH  FC,1010 WEST 4TH ST,,WILMINGTON,DE,19805,(302)655-6730,NEW CASTLE,FOOD CLOSET
06501,FIRST STATE COMMUNITY ACTION-FC,,,GEORGETOWN,DE,19947,(302)856-7761,SUSSEX,FOOD CLOSET
